Køn,Navn,2. fremmedsprog,Kunstnerisk fag,Afgangsskole-navn
K,164,Spansk begynder A,Billedkunst C,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300)
K,165,Tysk fortsætter B,Billedkunst C,"Balle Friskole, Balle Musik- & Idrætsefterskole (605300)"
K,166,Tysk fortsætter B,Billedkunst C,Elbæk Efterskole (609300)
K,167,Tysk fortsætter B,Billedkunst C,Flemming Efterskole (627300)
K,168,Tysk fortsætter B,Billedkunst C,
M,169,Tysk fortsætter B,Designfag C,Stjernevejskolen (613012)
K,170,Tysk fortsætter B,Billedkunst C,Kirkebakkeskolen (631006)
M,171,Tysk fortsætter B,Mediefag C,Fjordvang Efterskole (667300)
K,172,Tysk fortsætter B,Billedkunst C,Petersmindeskolen (631012)
K,173,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,174,Tysk fortsætter B,Designfag C,Englystskolen (603005)
M,175,Spansk begynder A,Designfag C,Design- & Idrætsefterskolen Skamling (509300)
K,176,Spansk begynder A,Musik C,Petersmindeskolen (631012)
M,177,Tysk fortsætter B,Mediefag C,Hellebjerg Idrætsefterskole (619300)
K,178,Fransk begynder A,Billedkunst C,Agerskov Ungdomsskole (525300)
K,179,Fransk begynder A,Musik C,Vejlefjordskolen (grundskole) (613009)
K,180,Fransk begynder A,Designfag C,Risskov Efterskole (280307)
K,181,Spansk begynder A,Billedkunst C,
M,182,Tysk fortsætter B,Mediefag C,Hældagerskolen (631017)
K,183,Spansk begynder A,Billedkunst C,Broby Fri- og Efterskole (efterskole) (425300)
K,184,Tysk fortsætter B,Musik C,Kirstine Seligmanns Skole (631018)
M,185,Tysk fortsætter B,Mediefag C,Design- & Idrætsefterskolen Skamling (509300)
M,186,Tysk fortsætter B,Mediefag C,NOVAskolen (631011)
K,187,Spansk begynder A,Designfag C,Søndermarksskolen (631014)
K,188,Tysk fortsætter B,Billedkunst C,Søndermarksskolen (631014)
M,189,Spansk begynder A,Mediefag C,Ranum Efterskole (827300)
M,190,Tysk fortsætter B,Designfag C,Adventure Efterskolen Sønderjylland Skelde (507301)
K,191,Tysk fortsætter B,Mediefag C,Elbæk Efterskole (609300)
M,192,Tysk fortsætter B,Musik C,"Vejle Midtbyskole, afdeling Strandgade (281814)"
K,193,Tysk fortsætter B,Billedkunst C,Hældagerskolen (631017)
K,194,Tysk fortsætter B,Mediefag C,Rejsby Europæiske Efterskole (531300)
K,195,Spansk begynder A,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
K,196,Spansk begynder A,Billedkunst C,Hammerum Fri- og Efterskole (efterskolen) (657300)
M,197,Tysk fortsætter B,Musik C,Bredsten-Gadbjerg skole. Bredsten afdeling (280335)
K,198,Tysk fortsætter B,Mediefag C,Agerskov Ungdomsskole (525300)
K,199,Spansk begynder A,Musik C,NOVAskolen (631011)
K,200,Spansk begynder A,Designfag C,Nørre Aaby Efterskole (451300)
K,201,Fransk begynder A,Musik C,NOVAskolen (631011)
K,202,Tysk fortsætter B,Designfag C,Himmelbjergegnens Natur- og Idrætsefterskole (737301)
K,203,Spansk begynder A,Billedkunst C,Hældagerskolen (631017)
K,204,Tysk fortsætter B,Mediefag C,
K,205,Tysk fortsætter B,Designfag C,Skrødstrup Efterskole (719300)
M,206,Tysk fortsætter B,Designfag C,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300)
K,207,Spansk begynder A,Billedkunst C,Skolen i Midten (766001)
K,208,Tysk fortsætter B,Billedkunst C,Ågård Efterskole (605302)
M,209,Spansk begynder A,Mediefag C,Sydvestjyllands Efterskole (557303)
M,210,Tysk fortsætter B,Designfag C,Nørre Aaby Efterskole (451300)
M,211,Tysk fortsætter B,Mediefag C,Lukas-Skolen (631029)
K,212,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,213,Tysk fortsætter B,Designfag C,Kirstine Seligmanns Skole (631018)
K,214,Tysk fortsætter B,Billedkunst C,Løsning Skole (613005)
M,215,Fransk begynder A,Musik C,
M,216,Spansk begynder A,Musik C,
K,217,Tysk fortsætter B,Billedkunst C,Vardeegnens Gymnasieforberedende Efterskole (573300)
K,218,Spansk begynder A,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,219,Tysk fortsætter B,Billedkunst C,Lyngs Idrætsefterskole (675301)
M,220,Tysk fortsætter B,Musik C,Sydvestjyllands Efterskole (557303)
M,221,Tysk fortsætter B,Designfag C,Vejle Idrætshøjskole & Vejle Idrætsefterskole (efterskoledelen) (630300)
M,222,Tysk fortsætter B,Mediefag C,Stjernevejskolen (613012)
M,223,Tysk fortsætter B,Billedkunst C,Brøruphus Efterskole (745300)
K,224,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
K,225,Tysk fortsætter B,Mediefag C,True North Efterskole Snaptun (280443)
K,226,Spansk begynder A,Billedkunst C,Skolerne i Oure - Sport & Performance (435301)
K,227,Spansk begynder A,Billedkunst C,Bjerre Gymnastik- og Idrætsefterskole Akademiet (619301)
M,228,Tysk fortsætter B,Musik C,
M,229,Spansk begynder A,Mediefag C,Kirkebakkeskolen (631006)
K,230,Tysk fortsætter B,Designfag C,Sct. Norberts Skole (631019)
M,231,Tysk fortsætter B,Mediefag C,Lukas-Skolen (631029)
K,232,Tysk fortsætter B,Billedkunst C,Bredballe Privatskole (280537)
K,233,Spansk begynder A,Billedkunst C,NOVAskolen (631011)
M,234,Spansk begynder A,Mediefag C,Øse Efterskole (567300)
M,235,Tysk fortsætter B,Designfag C,
M,236,Tysk fortsætter B,Designfag C,Stjernevejskolen (613012)
K,237,Tysk fortsætter B,Billedkunst C,Kirstine Seligmanns Skole (631018)
M,238,Tysk fortsætter B,Mediefag C,Vejle Privatskole (280474)
M,239,Tysk fortsætter B,Mediefag C,Vejle Midtbyskole (281814)
K,240,Tysk fortsætter B,Designfag C,Søndermarksskolen (631014)
